theatre,lng,lat,type,projector,date,ratio,width,height,size,seats,note
蚌埠万达影城(万达广场店) ,117.366215992235,32.9259091553728,imax,IMAX 氙灯,"2013年11月29日-2021年2月1日
2021年2月2日",,21.85,11.760,256.9560,402,银幕型号:HARKNESS IMAX Coating 3.1 Peak Gain
合肥万达影城(瑶海万达广场店) ,117.35610879762,31.8834339963215,imax,IMAX 氙灯,2016年9月9日,,23.66,12.600,298.1160,319, -
合肥华谊兄弟影院(武里山天街店) ,117.326938122794,31.9050241865692,imax,IMAX 氙灯,2017年8月18日,,21.61,11.490,248.2989,385, -
合肥万达影城(万达文化旅游城店) ,117.315205444359,31.704010391637,imax,IMAX 氙灯,2016年9月24日,,22.36,11.710,261.8356,355, -
合肥万达影城(包河万达广场店),117.308553222566,31.8615080152663,imax,IMAX 氙灯,"2010年12月23日
2015年11月13日",,22.81,11.968,272.9908,374,
合肥万达影城（包河万达广场店）,117.308553222566,31.8615080152663,dolby,科视Christie E3LH数字影院放映机,"2018年8月12日
2018年8月24日启幕仪式",,,,,196,安徽省第一家同时拥有IMAX氙灯影厅跟杜比影院影厅的影城
合肥万达影城(宝利丰广场店) ,117.292748076101,31.840992587315,imax,IMAX 氙灯,2017年12月30日,,23.39,12.160,284.4224,343, -
枣庄万达影城(万达广场店) ,117.274503042041,34.798188956455,imax,IMAX 氙灯,2017年6月23日,,18.96,10.540,199.8384,390, -
合肥万达影城(北城万达广场店),117.269176000536,31.9769279514107,imax,IMAX 氙灯,2019年12月31日,,,,,355,
天津万达影城(河东万达广场店 ) ,117.260908086453,39.1305988141902,imax,IMAX 氙灯,"2011年11月8日
2017年3月20日",,23.77,12.340,293.3218,398, -
合肥博纳国际影城(蜀山弘阳店),117.243951851307,31.8585557687744,imax,IMAX 氙灯,,,20.99,11.190,234.8781,377,
合肥万达影城(万科广场店),117.241488158616,31.8989265247631,imax,IMAX 氙灯,2019年5月11日,,,,,317,
徐州万达影城(云龙万达广场店) ,117.240632073465,34.2470014636435,imax,IMAX 氙灯,2013年12月6日,,21.50,10.800,232.2000,350, -
合肥英皇电影城(万象城店) ,117.237743841589,31.8066132910357,imax,IMAX 氙灯,2015年10月15日,,21.85,11.570,252.8045,408, -
合肥万达影城(天鹅湖万达广场店) ,117.228484647375,31.8267059990477,imax,IMAX 氙灯,"2012年7月20日
2019年1月8日",,  ,  ,   ,378, -
天津万象影城（万象城IMAX激光店),117.219878161945,39.0962333443097,imax,IMAX Commercial Laser,2021年1月24日,,24.52,12.820,314.3464,365,12聲道音響系統
天津SFC上影影城(天河城店),117.211131900178,39.1332252293146,imax,IMAX 氙灯,2017年6月26日,,18.89,10.480,197.9672,286, -
徐州万达影城(铜山万达广场店) ,117.194832595852,34.1964068043191,imax,IMAX 氙灯,2016年10月28日,,21.85,11.650,254.5525,372, -
天津金逸影城(大港IMAX店) ,117.186956432802,39.0844618432686,imax,IMAX 氙灯,2016年12月21日,,19.70,10.500,206.8500,370, -
天津金逸影城(大悦城IMAX店) ,117.186602051278,39.1407155462796,imax,IMAX Commercial Laser,"2012年6月22日-（IMAX 氙灯）
2021年12月5日",,"21.95
23.88","12.1
12.1","265.595
288.948","511
504",12聲道音響系統
天津农垦博纳国际影城 ,117.186539978367,39.0834114802331,imax,IMAX 氙灯,2012年9月28日,,20.54,11.180,229.6372,406, -
泰安万达影城(盘古天地店) ,117.153401038952,36.1982129053743,imax,IMAX 氙灯,2021年8月20日,,,,,457,
济南万达影城(高新万达广场店) ,117.136092365713,36.6923706603273,imax,IMAX Commercial Laser,"2016年6月18日
2019年11月15日",,23.02,11.850,272.7870,360,12聲道音響系統
济南万达影城（世茂广场店）,117.135820211985,36.6918591978972,dolby,科视Christie E3LH数字影院放映机,"2016年6月27日
2016年7月8日启幕仪式",,24.000,12.972,311.3280,514,济南市第一家杜比影院影厅 步大佬激光测距仪测量尺寸
济南幸福蓝海国际影城(全运村中央广场IMAX店) ,117.127883862466,36.6511533974619,imax,IMAX 氙灯,2018年2月9日,,24.57,12.900,316.9530,371, -
济南CGV影城（龙湖店）,117.115871182203,36.673865338631,dolby,科视Christie E3LH数字影院放映机,2020年12月18日,,,,,220,济南市第二家杜比影院影厅
济南万象影城（万象城IMAX激光店）,117.106998798342,36.6646198079468,imax,IMAX Commercial Laser,2019年9月28日,,22.85,11.730,268.0305,396,5.1聲道音響系統
泰安万达影城(万达广场店) ,117.094801067144,36.1861449513034,imax,IMAX 氙灯,2015年8月21日,,   ,  ,,414, -
安庆星轶IMAX影城（安庆吾悦广场旗舰店）,117.08319900233,30.5188689201161,imax,IMAX 氙灯,2016年12月23日,,20.96,11.170,234.1232,342, -
济南CGV影城(印象城店),117.067601903422,36.6909248280668,imax,IMAX 氙灯,2019年6月1日,,20.54,10.480,215.2592,225,
天津万达影城(西青社会山广场店) ,117.056943688207,39.058130308092,imax,IMAX 氙灯,2018年1月5日,,18.98,9.800,186.0040,229, -
淮南万达影城(万达广场店),117.038985752587,32.6577868804973,imax,IMAX 氙灯,2018年9月7日,,,,,365,
淮南星轶IMAX影城（淮南吾悦广场旗舰店）,117.015949156937,32.6346325306854,imax,IMAX 氙灯,2018年8月31日,,25.49,13.480,343.6052,389, -
济南万达影城(魏家庄万达广场店) ,117.009917843912,36.6693729768282,imax,IMAX 氙灯,2010年11月1日,,20.24,11.020,223.0448,362, -
宿州万达影城(万达广场店) ,116.957214618964,33.6587311195072,imax,IMAX 氙灯,2016年12月2日,,  ,  ,  ,401, -
济南山东省科技馆（新馆）,116.914766629379,36.6723910469901,imax,IMAX GT 3D Laser,2022年12月30日,,28.65,20.730,593.9145,575,"科教影院
12聲道音響系統 步大佬激光测距仪测量尺寸"
北京博纳国际影城(密云店) ,116.841538021833,40.360065436682,imax,IMAX 氙灯,2017年12月8日,,  ,,  ,294, -
廊坊华谊兄弟影城(燕郊天洋城店) ,116.830892921879,39.9697096957518,imax,IMAX 氙灯,2017年12月26日,,16.89,8.620,145.5918,256,非常感谢银幕尺寸图提供者WeChat昵称：海明威
淮北万达影城(万达广场店) ,116.828203305351,33.9693273972105,imax,IMAX 氙灯,2018年9月28日,,20.96,10.850,227.4160,370, -
淮北金逸影城(IMAX店) ,116.806946791899,33.9458493922563,imax,IMAX 氙灯,2016年12月24日,,20.99,11.070,232.3593,440, -
汕头CGV影城(群光汇店),116.727524981029,23.3664730551629,imax,IMAX 氙灯,2019年4月26日,,21.21,11.170,236.9157,243, -
汕头万象影城（万象城杜比影院店）,116.724404357519,23.3685578218647,dolby,科视Christie E3LH数字影院放映机,2021年9月26日,,15.895,8.360,132.8822,254,
汕头星城影院(正大卜蜂中心店),116.719625102716,23.3930059273924,imax,IMAX 氙灯,"2016年2月6日-2022年8月7日
2022年12月16日",,18.40,10.210,187.8640,328, -
廊坊万达影城(万达广场店) ,116.705906106781,39.5231104998973,imax,IMAX 氙灯,2011年11月11日,,,,,383,
